n,prime,is_mersenne,ms
783,1000000000000036901,0,0.009
784,1000000000000036979,0,0.015
785,1000000000000036991,0,0.007
786,1000000000000037009,0,0.008
787,1000000000000037041,0,0.010
788,1000000000000037213,0,0.021
789,1000000000000037237,0,0.007
790,1000000000000037243,0,0.005
791,1000000000000037261,0,0.008
792,1000000000000037359,0,0.017
793,1000000000000037401,0,0.010
794,1000000000000037441,0,0.010
795,1000000000000037447,0,0.005
796,1000000000000037459,0,0.008
797,1000000000000037483,0,0.007
798,1000000000000037551,0,0.013
799,1000000000000037627,0,0.010
800,1000000000000037639,0,0.008
801,1000000000000037671,0,0.010
802,1000000000000037689,0,0.009
803,1000000000000037717,0,0.007
804,1000000000000037789,0,0.014
805,1000000000000037801,0,0.008
806,1000000000000037831,0,0.009
807,1000000000000037863,0,0.007
808,1000000000000037893,0,0.008
809,1000000000000037903,0,0.005
810,1000000000000037951,0,0.010
811,1000000000000037989,0,0.010
812,1000000000000038019,0,0.010
813,1000000000000038049,0,0.009
814,1000000000000038053,0,0.005
815,1000000000000038061,0,0.008
816,1000000000000038071,0,0.007
817,1000000000000038077,0,0.005
818,1000000000000038173,0,0.011
819,1000000000000038221,0,0.013
820,1000000000000038283,0,0.010
821,1000000000000038299,0,0.009
822,1000000000000038311,0,0.007
823,1000000000000038407,0,0.012
824,1000000000000038437,0,0.008
825,1000000000000038461,0,0.008
826,1000000000000038563,0,0.015
827,1000000000000038599,0,0.011
828,1000000000000038641,0,0.012
829,1000000000000038659,0,0.008
830,1000000000000038679,0,0.009
831,1000000000000038689,0,0.006
832,1000000000000038691,0,0.008
833,1000000000000038707,0,0.005
834,1000000000000038731,0,0.007
835,1000000000000038799,0,0.013
836,1000000000000038823,0,0.006
837,1000000000000038827,0,0.005
838,1000000000000038839,0,0.008
839,1000000000000039033,0,0.023
840,1000000000000039039,0,0.007
841,1000000000000039061,0,0.008
842,1000000000000039079,0,0.009
843,1000000000000039111,0,0.010
844,1000000000000039279,0,0.024
845,1000000000000039403,0,0.016
846,1000000000000039463,0,0.010
847,1000000000000039531,0,0.014
848,1000000000000039547,0,0.006
849,1000000000000039651,0,0.017
850,1000000000000039679,0,0.009
851,1000000000000039693,0,0.007
852,1000000000000039723,0,0.007
853,1000000000000039741,0,0.010
854,1000000000000039793,0,0.009
855,1000000000000039891,0,0.013
856,1000000000000039949,0,0.012
857,1000000000000040059,0,0.017
858,1000000000000040147,0,0.013
859,1000000000000040159,0,0.008
860,1000000000000040231,0,0.014
861,1000000000000040321,0,0.015
862,1000000000000040327,0,0.005
863,1000000000000040357,0,0.007
864,1000000000000040419,0,0.013
865,1000000000000040657,0,0.028
866,1000000000000040681,0,0.008
867,1000000000000040723,0,0.009
868,1000000000000040777,0,0.010
869,1000000000000040813,0,0.009
870,1000000000000040867,0,0.008
