n,prime,is_mersenne,ms
586,1000000000000028117,0,0.011
587,1000000000000028173,0,0.015
588,1000000000000028177,0,0.005
589,1000000000000028179,0,0.007
590,1000000000000028213,0,0.010
591,1000000000000028231,0,0.009
592,1000000000000028311,0,0.020
593,1000000000000028329,0,0.008
594,1000000000000028371,0,0.014
595,1000000000000028381,0,0.007
596,1000000000000028399,0,0.011
597,1000000000000028453,0,0.015
598,1000000000000028519,0,0.020
599,1000000000000028597,0,0.019
600,1000000000000028663,0,0.019
601,1000000000000028773,0,0.025
602,1000000000000028891,0,0.029
603,1000000000000028903,0,0.009
604,1000000000000028927,0,0.007
605,1000000000000029073,0,0.034
606,1000000000000029121,0,0.014
607,1000000000000029143,0,0.008
608,1000000000000029233,0,0.021
609,1000000000000029253,0,0.009
610,1000000000000029263,0,0.007
611,1000000000000029313,0,0.014
612,1000000000000029341,0,0.012
613,1000000000000029461,0,0.028
614,1000000000000029529,0,0.020
615,1000000000000029643,0,0.026
616,1000000000000029683,0,0.012
617,1000000000000029713,0,0.009
618,1000000000000029781,0,0.021
619,1000000000000029823,0,0.010
620,1000000000000029841,0,0.010
621,1000000000000029857,0,0.006
622,1000000000000029883,0,0.009
623,1000000000000029893,0,0.006
624,1000000000000029961,0,0.018
625,1000000000000030061,0,0.023
626,1000000000000030063,0,0.005
627,1000000000000030067,0,0.005
628,1000000000000030153,0,0.020
629,1000000000000030157,0,0.005
630,1000000000000030219,0,0.017
631,1000000000000030277,0,0.017
632,1000000000000030307,0,0.011
633,1000000000000030411,0,0.028
634,1000000000000030441,0,0.013
635,1000000000000030481,0,0.013
636,1000000000000030577,0,0.025
637,1000000000000030583,0,0.005
638,1000000000000030609,0,0.011
639,1000000000000030669,0,0.021
640,1000000000000030753,0,0.020
641,1000000000000030849,0,0.025
642,1000000000000030879,0,0.014
643,1000000000000030889,0,0.007
644,1000000000000030901,0,0.007
645,1000000000000030921,0,0.011
646,1000000000000030933,0,0.005
647,1000000000000030973,0,0.012
648,1000000000000031011,0,0.012
649,1000000000000031099,0,0.024
650,1000000000000031207,0,0.027
651,1000000000000031221,0,0.009
652,1000000000000031351,0,0.033
653,1000000000000031383,0,0.011
654,1000000000000031411,0,0.011
655,1000000000000031479,0,0.023
656,1000000000000031483,0,0.005
657,1000000000000031507,0,0.008
658,1000000000000031531,0,0.011
659,1000000000000031551,0,0.011
660,1000000000000031567,0,0.006
661,1000000000000031627,0,0.016
662,1000000000000031629,0,0.007
663,1000000000000031669,0,0.013
664,1000000000000031689,0,0.009
665,1000000000000031711,0,0.009
666,1000000000000031713,0,0.005
667,1000000000000031783,0,0.018
668,1000000000000031831,0,0.014
669,1000000000000031861,0,0.011
670,1000000000000031903,0,0.013
671,1000000000000031929,0,0.010
672,1000000000000031993,0,0.019
673,1000000000000032131,0,0.033
674,1000000000000032133,0,0.005
675,1000000000000032209,0,0.022
676,1000000000000032211,0,0.007
677,1000000000000032253,0,0.010
678,1000000000000032331,0,0.022
679,1000000000000032349,0,0.009
680,1000000000000032463,0,0.028
681,1000000000000032599,0,0.034
682,1000000000000032623,0,0.010
683,1000000000000032653,0,0.009
684,1000000000000032751,0,0.024
685,1000000000000032767,0,0.006
686,1000000000000032827,0,0.016
687,1000000000000032841,0,0.009
688,1000000000000032943,0,0.021
689,1000000000000032961,0,0.011
690,1000000000000032971,0,0.006
691,1000000000000032979,0,0.007
692,1000000000000033013,0,0.010
693,1000000000000033037,0,0.007
694,1000000000000033061,0,0.010
695,1000000000000033099,0,0.014
696,1000000000000033141,0,0.015
697,1000000000000033183,0,0.011
698,1000000000000033213,0,0.010
699,1000000000000033247,0,0.011
700,1000000000000033343,0,0.022
701,1000000000000033427,0,0.020
702,1000000000000033453,0,0.009
703,1000000000000033463,0,0.006
704,1000000000000033517,0,0.014
705,1000000000000033541,0,0.010
706,1000000000000033619,0,0.023
707,1000000000000033651,0,0.013
